Project ID,Insect Type,Insect Order,Project Title,Project Description,Type,16s rRNA,full_results
PRJNA1075326,Dung beetle,Coleoptera,iDNA from gut contents of dung beetles,Metabarcoding gut contents of dung beetles from Tapajos National Forest (Brazil) to survey mammals community,paired,0,0
PRJNA1074716,Dendroctonus,Coleoptera,ITS2 sequences of Dendroctonus gut microbiota,The sequences are of the metabarcode ITS2 to characterize and compare the gut fungal assemblages associated to 14 species of Dendroctonus.,paired,0,0
PRJNA1074123,Apis mellifera,Hymenoptera,Different Diets Modulate the Gut Microbiome Compositions and Promote the Health of Apis mellifera.,The goal is to identify quality diet for honey bee health and good microbiome status.,paired,1,1
PRJNA1069862,housefly ,Diptera,Transmission of AMR plasmid in housefly gut microbiota,Transmission of AMR plasmid in housefly gut microbiota,paired,1,0
PRJNA1068260,Apis mellifera,Hymenoptera,Gut Microbiota of Apis mellifera at Selected Ontogenetic Stages and Their Immunogenic Potential During Summer,The goal is to assess microbiome distribution among different developmental stages in Apis mellifera together with their immunogenic potentials.,paired,0,0
PRJNA1066580,Aquatica leii,Coleoptera,Aquatica leii Macrogenome,Raw data for sequencing the gut microbial macrogenome of fireflies,paired,0,0
PRJNA1065602,Dung beetle,Coleoptera,Dung beetle iDNA for fungi sampling,"The metabarcoding sequences generated during the Xishuangbanna Tropical Botanical Garden project by T.S. Nimalrathna, H. Fan, A. Campos-Arceiz, and A. Nakamura are provided. In this project, we demonstrate the dung beetle's potential as an iDNA sampler for studying mycological communities in tropical regions on a spatial and temporal scale. The uploaded data includes fungal sequences extracted from dung beetle gut on a spatial and temporal scale.",single,0,0
PRJNA1062440,Hermetia illucens.L,Diptera,Study on the degradation of the feet of edible mushroom and the adaptation of gut by the Hermetia illucens.L,"The aim of this study was to investigate the effects of intestinal gene expression in the black soldier fly larvae were fed wheat bran, Flammulina velutipes feet and Pleurotus ostreatus feet,respectively.Transcriptome sequencing was performed on the intestines of larvae fed at the same time. The results showed that the intestinal genes of the black soldier fly larvae were differentially expressed after feeding different diets.",paired,0,0
PRJNA1059607,Drosophila,Diptera,Drosophila midgut sequencing,Discussing the therapeutic effects of drugs on the aging fruit fly gut.,paired,0,0
PRJNA1058849,Hermetia illucens.L,Diptera,Study on the degradation of the feet of edible mushroom and the adaptation of gut by the Hermetia illucens.L,"The purpose of this study was to investigate the changes of intestinal microbial diversity of the larvae of Hermetia illucens L. after feeding edible mushroom feet. The larvae were fed wheat bran, Flammulina velutipes feet and Pleurotus ostreatus feet, respectively. The microbial diversity of the midgut contents of the larvae was analyzed after feeding for the same time.The results showed that the abundance of each species in the midgut of the larvae of Hermetia illucens L. was changed by feeding different diets.",paired,0,0
PRJNA1055874,Dendroctonus,Coleoptera,ITS Metabarcoding sequeces of Dendroctonus spp.,The sequences are of the metabarcode ITS2 to characterize and compare the gut fungal assemblages associated to14 species of Dendroctonus.,paired,0,0
PRJNA1054133,Aphids,Hemiptera,Microbiome study of sugarcane aphids infestation on sorghum resistant and susceptible plant lines,This project contains 66 samples of RNA sequence data,paired,0,0
PRJNA1049593,Black soldier fly larvae,Diptera,black soldier fly larvae Pb and As,BSFL intestine and BSFL residue,paired,0,0
PRJNA1048488,Huhu grubs,Coleoptera,The gut microbiome of huhu grubs,Investigating the lignocellulolytic gut microbiome of huhu grubs (Prionoplus reticularis) using defined diets and dietary switch,paired,0,0
PRJNA1046534,,,Sequencing insect gut contents,Sequencing of Insect Intestinal Contents--Research on Microbial Diversity by High-Throughput Sequencing of Fungi,paired,0,0
PRJNA1037008,,,This is a test date,This is a test date,single,0,0
PRJNA1036837,True Bug,Hemiptera,Model organism or animal sample from true bugs,Composition and diversity of gut bacterial microbiota in true bugs,paired,0,0
PRJNA1027594,Hog lice,Phthiraptera,microbial communities within hog lice,The microbial communities of hog lice and the relevance of endosymbionts in lice,paired,0,0
PRJNA1027071,Zeuzera coffeae,Lepidoptera,Zeuzera coffeae larval gut Metagenome,Pecan secondary metabolites influenced the population of Zeuzera coffeae by affecting the structure and function of the larval gut microbiota,single,0,0
PRJNA1026893,Bumblebee,Hymenoptera,Original sequence of intestinal bacteria of three native bumblebees from China,"Including the intestinal bacteria of Bombus atripes, Bombus bicoloratus and Bombus breviceps.",paired,0,0
PRJNA1023051,Pachnoda marginata,Coleoptera,Pachnoda marginata gut microbiome raw sequence reads,"In this study, we provide a comprehensive analysis of the microbial composition within the intricately structured digestive tract of Pachnoda marginata through the study of 16S rRNA gene and ITS2 fragment amplicons and its metagenome. Furthermore, we demonstrate the versatile biotechnological capabilities of its microbiome, which includes cellulose degradation, biogas production, and sulfate reduction, all rolled into one.",paired,0,0
PRJNA1022150,Bumble bee,Hymenoptera,Exposure to a fungicide for a field-realistic duration does not alter bumble bee fecal microbiotas,"Social bees are frequently exposed to pesticides when foraging on nectar and pollen. Recent research has shown that pesticide exposure not only impacts social bee host health but can also alter the community structure of social bee gut microbiotas. However, most research on pesticide-bee gut microbiota interactions has been conducted in honey bees; bumble bees, native North American pollinators, have received less attention and, due to differences in their ecology, may be exposed to certain pesticides for shorter durations than honey bees. Here we examined how exposure to the fungicide chlorothalonil for a short, field-realistic duration altered bumble bee fecal microbiotas (used as a proxy for gut microbiotas) and host performance. We exposed Bombus impatiens microcolonies to field-realistic chlorothalonil concentrations for five days, tracking changes in fecal microbiotas during the exposure period and a nine-day recovery period, and comparing microcolony production between treatments at the end of the experiment. We also assessed the use of fecal microbiotas as a gut microbiota proxy by comparing community structures of fecal and gut microbiotas. We found that chlorothalonil exposure did not alter bumble bee fecal microbiota structure or affect microcolony production at any concentration, but that fecal and gut microbiotas differed significantly in community structure. Our results highlight the importance of considering ecologically relevant exposure periods when investigating the effects of toxicants on animal microbiotas and host health, and the importance of sampling gut microbiotas directly, when possible.",single,0,0
PRJEB66205,Honeybee,Hymenoptera,Oxalic acid treatment of honey bee hive,"Study of the effect of 3 oxalic acid treatments (tricking at 2.1%, tricking at 4.2%, and sublimation through Varrox®) upon the microbial communities (bacterial and eukaryotic) associated with workers’ gut, hive bee bread and pupae, sampled from 3 apiaries. Apiaries were managed through conventional or ecological beekeeping practices, and were under different anthropization levels (located in an urban, rural or mountainous area). Hives were sampled pre- and post-treatment by doing: i) queen caging and pre-treatment sampling on August 2017, ii) queen liberation and hive treatment 24 days later, and iii) post-treatment sampling approximately 20 days later (middle of October 2017). Characterization was performed via amplification of the V4 region of the 16S rRNA gene for bacteria, and the ITS2 region for eukaryote.",single,0,0
PRJNA1014221,Dorcus hopei (bettle,Coleoptera,Marked variations in diversity and functions of gut microbiota between wild and domestic stag bettle Dorcus hopei,"Here, 16S rRNA gene sequencing was employed to reveal the gut microbiota composition and functional variations between wild and domestic Dorcus hopei hopei larval individuals.",paired,1,1
PRJEB45908,Blattella germanica,Blattodea,Longitudinal study on Blattella germanica treated with kanamycin,"Two populations of Blattella germanica were kept in control conditions and three populations were treated with kanamycin (0.2mg/mL) in three periods of 10 days. In between these periods, they were kept in control conditions in periods of 25 days. We dissected the hindgut of one cockroach of each population every day. The experiment was 105 days long. Then, we sequenced the 16S rRNA genes of the samples.",paired,1,0
PRJNA1010874,Honeybee,Hymenoptera,Honey bee gut microbiome sequencing,Microbial 16S rRNA gene sequence data was obtained from the gastrointestinal tracts of bees from hives that survived or failed to survive the winter of 2022. The goal of the study was to determine if honey bee gut microbiome composition was related to winter colony loss.,paired,1,1
PRJNA1010869,Honeybee,Hymenoptera,Sequencing the honeybee gut Raw sequence reads,"The effects of Cd on honey bees were examined, with a focus on the gut microbiome.",paired,0,0
PRJNA1008283,housefly ,Diptera,Gut microbiota of housefly exposure to the environment with Cu2+- Enterobacter hormaechei administration Raw sequence reads,"Intestinal bacteria play an important role in the development of houseflies, but their effects on resistance to heavy metal damage in houseflies are still poorly understood. In this study, the life-history traits and gut microbiota of housefly larvae were evaluated after exposure to the environment with Cu2+- Enterobacter hormaechei administration.",paired,1,1
PRJNA1006652,sterile medfly,Diptera,"Microbial diversity in sterile medfly guts after a ""LEK"" probiotic consortium treatment","Among the strategies for restoring the commensal microbiome groups in various SIT manifestations of dysbiosis, the use of probiotics as food additives improves the sterile insect performance. Here, using high-throughput illumina sequencing of 16S rRNA gene, we investigated the effect of probiotic consortia administration to V8-GSS medfly larvae and/or adult stages across 20 rearing generations on sterile male bacterial microbiota structure and metabolic activity in response to the probiotic feeding life stage administration. The findings in this study will enrich the understanding of the diversity and dynamics of the medfly gut microbiota after probiotic feeding and will provide novel strategies to modulate microbial structure within medfly sterile males towards a personalized population.",paired,1,0
PRJNA1004019,Scyphophorus acupunctatus Gyllenhal,Coleoptera,"Disentangling the gut microbiota of the agave weevil, Scyphophorus acupunctatus Gyllenhal, 1838 (Coleoptera: Curculionidae)","The agave weevil, Scyphophorus acupunctatus, is a pest species of agave whose larvae cause damage to agaves by boring holes in the plant. The borer activity requires that the insect consume the constituents of its host plant, which is full of sugar and many recalcitrant polymers. Since many years ago, it has been hypothesized that the gut microbiota of S. acupunctatus larvae plays a role in the metabolization of agave components, but no studies to explore the structure of the gut microbiota of this insect have been performed so far. In this work, we used a 16S rRNA gene-based metabarcoding approach to determine the dynamics of the gut microbiota of field-collected agave weevils from different localities in Mexico. We found that external factors, including host plants, greatly influence the gut bacterial communities of this species. Despite this, we found a discrete core microbiota mainly composed of the genera Prevotella, Pectinatus, Liquorilactobacillus, Secundibacillus, Paucilactobacillus, and Pseudomonas. Our research shows that environmental conditions have a significant effect on the gut microbiota of S. acupunctatus. However, the tight relationship between Prevotella and other genera in the core microbiota could be necessary for the host as metabolic helpers and/or gatekeepers. Additional studies are needed to fully assess the functionality of the gut microbiota in terms of its metabolic contribution, which may help to infer their potential ecological implications, but the information we provided here is the first step to guiding further questions.",paired,1,1
PRJNA1000992,Drosophila,Diptera,Comparisons of the bacterial communities associated with sympatric cactophilic and generalist Drosophila,"In this study, we explored the contributions of host diet, phylogeny, and neutrality towards shaping the bacterial communities hosted by sympatric dietary generalist and cactophilic Drosophila. We use 16S rRNA next-generation sequencing to characterize and compare the bacterial communities of two generalist (D. melanogaster and D. arizonae) and three cactus specialist (D. mojavensis, D. nigrospiracula, and D. mettleri) Drosophila species.",paired,1,0
PRJNA999508,Hermetia illucens.L,Diptera,midgut_Hermetia Raw sequence reads,effect of PVC on bacterial communities occurring in the midgut of Hermetia illucens larvae,paired,0,0
PRJNA999505,Hermetia illucens.L,Diptera,midgut_Hermetia,effect of PVC on fungal communities occurring in the midgut of Heremetia illucens larvae,paired,0,0
PRJNA999443,Protaetia acuminata,Coleoptera,Protaetia acuminata gut microbiomes,Protaetia acuminata gut microbiomes,paired,0,0
PRJNA997005,Mosquito /flies,Diptera,iDNA from mosquitoes and flies to survey mammals,Data from iDNA of mosquitoes and flies to detect mammals in the Neotropics.,paired,0,0
PRJNA996316,Harmonia axyrids,Coleoptera,Harmonia axyridis gut metagenome Raw sequence reads,Normal 16s RNA sequencing of Harmonia axyridis gut microbes in 4 different treatments,single,0,0
PRJNA995524,Bactrocera dorsalis,Diptera,Excessive sugar mediating gut microbiota decrease body size and longevity of Bactrocera dorsalis,"The oriental fruit fly (Bactrocera dorsalis) is a global invasive pest that inflicts damage on numerous fruits and vegetables. Given its ability to adapt to various host plants, it is crucial to examine the influence of nutritional composition on the life-history flexibility of B. dorsalis. This study aimed to examine the impact of different sucrose levels on the life-history traits of B. dorsalis and plasticity of their gut microbiota, shedding light on host adaptation. The results indicated that a low-sucrose diet (3%) led to a significant increase in the body size of B. dorsalis, whereas a high-sucrose diet (22%) resulted in a notable decrease in body size. Moreover, a low-sucrose diet led to a larger ovaries and longer lifespans of adult flies compared to those in the control group. Additionally, the consumption of a high-sucrose diet caused substantial alterations in the intestinal microbiota of B. dorsalis when compared to the control group. Notably, 26 and 17 species of gut microbe were found to be enriched in the low-sucrose and high-sucrose diets, respectively. These findings suggest that specific intestinal microbes might contribute to enhancing the adaptability of B. dorsalis. By elucidating the effects of sucrose concentration on the life history, this study deepens our understanding of the adaptive mechanisms underlying insect-microbiome holobiont. It provides a foundation for further exploration into the adaptive mechanisms of B. dorsalis and its microbiome, emphasizing the significance of sucrose concentration in shaping insect life history.",paired,0,0
PRJEB62187,Blattella germanica,Blattodea,Evolution and recovery of the gut microbiota during and after rifampicin treatment in Blattella germanica,"The German cockroach Blattella germanica is an omnivorous insect .We have developed an experimental design involving one control population and two treated populations during 10 days with 0.02% rifampicin, one of which was supplemented with faeces from the beginning. First, we dissected the hindgut of females every 2 days. Then, rifampicin was removed and the experiment continued to check the recovery of the gut microbiota without antibiotic. The rifampicin-only treated population was divided in two sub-populations, one of which was now supplemented with faeces. We dissected the hindguts of cockroach every 10 days until 60.",paired,0,0
PRJEB62131,Blattella germanica,Blattodea,Effects of reduced levels of endosymbiont in the gut microbiota of Blattella germanica.,"In order to check whether there is a communication between gut microbiota and the endosymbiont of Blattella germanica, Blattabacterium cuenoti, we checked the composition of the gut microbiota of cockroaches of a mixed population with individuals with reduced and normal levels of endosymbionts reared in the same conditions.",paired,0,0
PRJNA990365,Locusta migratoria,Orthoptera,Life stage affects the gut microbiota structure of Locusta migratoria,Life stage affects the gut microbiota structure of Locusta migratoria,single,0,0
PRJNA987703,Bathycoelia distincta,Hemiptera,Metagenome assembled genomes of two B. distincta gut symbionts,"The two-spotted stink bug, Bathycoelia distincta, is a serious pest of macadamias in South Africa. Nothing is currently known regarding its gut microbiome and what functional roles its symbionts play. In this study, metagenomic sequence data obtained from the midgut crypts of the insect, were used to obtain high quality genomes of two prominent symbionts. The Pantoea species is an obligate symbiont in the midgut crypts (M4 section) and is described as a new species, Pantoea bathycoeliae sp. nov. The other species was more dominant in the rest of the gut and could only be classified to the genus level as a Sodalis species.",paired,0,0
PRJNA985806,silkworm,Lepidoptera,16S rRNA-seq of the overall silkworm gut microbiome,16S rRNA-seq of the overall silkworm gut microbiome is used to determine the Intestinal flora diversity in silkworm gut.,paired,0,0
PRJNA983257,Tea Moth,Lepidoptera,The intestinal flora of tea moth Raw sequence reads,"Comparative evaluation of diversity of bacterial and fungal communities inhabiting Camellia Sinensis leaf, its rhizosphere soil and gut of Agriophara rhombata",paired,1,0
PRJDB13358,,,Identification of unique microbiota from insects,"We identified unique microbiota from insects. This microbiota contained several uncharacterized lactic acid bacteria, and some of these bacteria were successively isolated. To know the detail profile of microbiota, we analyzed insects microbiota since the year 2015, and found that the unique microbiota were maintained independent of the year and the seasons.",paired,0,0
PRJNA981971,silkworm,Lepidoptera,Metagenome sequencing of eri silkworm reared on papaya leaves,This study aimed to study the composition and diversity of gut bacteria in eri silkworm larvae reared on papapa leaves,paired,0,0
PRJNA981687,silkworm,Lepidoptera,Metagenome sequencing of eri silkworm reared on Castor leaves,The present study aimed at assessing the gut bacterial diversity of eri silkworm reared on castor leaves.,paired,0,0
PRJNA980557,Galleria mellonella,Lepidoptera,16S metagenomics of the gut of Galleria mellonella after amikacin use,The use of amikacin for Galleria mellonella results in resistance to Bacillus thuringiensis and changes in the bacteriobiome,paired,0,0
PRJNA980223,Bumble bee,Hymenoptera,Immune stimulation induced changes to the native gut microbiota of bumble bees,This study investigates the potential for the immune system of bumble bee hosts (Bombus impatiens) to perturb the natural gut communities.,paired,0,0
PRJNA978012,Drosophila melanogaster,Diptera,Effect of infection on Drosophila melanogaster gut microbiota,The aim of this project was to investigate the impact of infection on Drosophila melanogaster gut microbiota; to identify species resilient to infection-induced inflammation and investigate the mechanisms of their resilience.,paired,1,0
PRJNA977063,,,insect gut metagenome Metagenome,Diversity of gut microbiota across different life stages of the edible African lesser mealworm (Coleoptera: Tenebrionidae),single,0,0
PRJNA975330,Drosophila,Diptera,16s sequence data (Drosophila midgut sample),"The gut microbiota composition of young (7 days), old (42 days) and old ginseng saponins-treated female Drosophila was analyzed by 16s rRNA sequencing, and the results showed that ginseng saponins improved the homeostasis of gut microbiota.",paired,1,0
PRJNA974707,Tenebrio molitor L.,Coleoptera,Tenebrio molitor L. Raw sequence reads,Metagenomics of gut microbiota of Tenebrio molitor larvae feeding on PVC film,paired,0,0
PRJNA972719,Stink Bug,Hemiptera,The gut microbiome of the two-spotted stink bug,"The two-spotted stink bug, Bathycoelia distincta, is a serious pest of macadamias in South Africa. Nothing is currently known regarding its gut microbiome or how symbionts are transferred between insects. In this study the consistency of B. distincta gut bacteria across geographic locations and life stages was determined with 16S metabarcoding, considering both the M4 and other gut compartments.",paired,1,1
PRJNA972619,Honeybee,Hymenoptera,Gut Bacteriome Composition of the Honeybee,The Gut Bacteriome Composition of the Honeybee,paired,1,1
PRJNA971253,housefly ,Diptera,Gut microbiome of housefly treated with bacteria cocktail or phage cocktail Raw sequence reads,"In this study, bacteria cocktails and phage cocktails which formed by different culturable bacteria and their specific phages were selected as the precise tools to clarify the influence of the symbiotic bacteria on the growth of housefly larvae.",paired,1,1
PRJNA970925,Musca domestica larvae,Diptera,Gut bacteria of Musca domestica larvae treated with heavy metal CuSO4 with or without Klebsiella pneumoniae Raw sequence reads,"In this study, CuSO4, CuSO4 - Klebsiella pneumoniae mixture and CuSO4 - K. pneumoniae phage mixture were added to the larval diet to analyze whether K. pneumoniae can protect housefly larvae against Cu2+ injury.",paired,1,0
PRJNA967750,Bee,Hymenoptera,Metagenome or environmental sample from honeybee gut under different treatments in colonies in the field,"In a previous study, we isolated and characterised bacterial strains from the native gut microbiota of honey bees. Four Apilactobacillus kunkeei strains were mixed and administered in laboratory models to evaluate their potential beneficial effect on larvae and adult bees. This beneficial microbes mixture was safe, it did not affect the expression of immune-related genes, and it was able to decrease the mortality caused by Paenibacillus larvae infection in larvae and reduced the Nosema ceranae spore number in infected adult honey bees. In the present study, we aimed to investigate the impact of administering this beneficial microbes mixture on honey bee colonies under field conditions. The mixture was administered in sugar syrup using fresh cultures, sprayed and in the feeder once a week for three consecutive weeks in autumn 2019. We have a total of 3 groups, OBM (Beneficial Microbes mixture), OC (control), and OV (vehicle of BM that was sugar syrup). All the colonies were treated with oxalic acid commercial strips.",paired,1,1
PRJNA961655,Mosquito,Diptera,Midgut microbiota composition of the adult non-hematophagous mosquito Toxorhynchites theobaldi (Diptera: Culicidae) from Brazil Raw sequence reads,"The midgut of mosquitoes is an organ colonization for several micro-organisms that can impact the physiology and development of these insects. Recently, numerous studies have investigated the midgut microbiota of mosquito vectors. However, the microbial community of non-vector mosquitoes is still little explored. The mosquitoes of the Toxorhynchites genus are a non-hematophagous species that is quite used as a biological control agent against vector mosquitoes but very little is known about their biology.",paired,0,0
PRJEB61400,Coleoptera,Coleoptera,The gut microbiome mediates adaptation to scarce food in cave Coleoptera,"Beetles are ubiquitous cave invertebrates worldwide and cave colonization involves a drastic transition from abundant nutrient sources on the surface to the subterranean scarce resources. We investigated the potential role of gut microbiota in cave adaptation of beetles in Carpathian caves from different climatic regions of Romania. The sediment microbiota was relatively constant in taxonomic structure across all seasons and was similar between all five caves. Uncultured phyla Patescibacteria and GAL15 were highly represented. In comparison, the beetles’ microbiota was host specific, reflecting both phylogenetic and nutritional adaptation. The microbial community structure further resolved conspecific beetles by caves suggesting microbiota-host coevolution and influences by local environmental factors. The detritivore Leiodidae hosted a variety of bacterial taxa known to decompose and ferment organic matter including in other animal guts, suggesting turnover and host cooperative digestion of the sedimentary microbiota and allochthonous derived nutrients. The Carabidae represented by Duvalius, beetles with strong mandibulae adapted to predation and scavenging of animal and plant remains, had distinct microbiota dominated by symbiotic lineages of Spiroplasma or Wolbachia. Interestingly, all beetles had relatively high levels of fermentative Carnobacterium and Vagococcus involved in lipid accumulation and a reduction of metabolic activity, both features characterizing cave beetles.",paired,0,0
PRJNA957972,Hermetia illucens larvae,Diptera,Gut microbes from Hermetia illucens larvae Genome sequencing and assembly,Novel insights into the mechanisms of SDZ biodegradation in the presence of Hermetia illuces's larvae and elucidated the microbial mechanisms involved in SDZ degradation in the natural environment using DNA-SIP.,paired,0,0
PRJNA957317,Fruit fly,Diptera,Microbiome dynamics in newly eclosed invasive fruit flies (Diptera:Tephritidae) adults,"The goals of the project are to characterize the microbial components of invasive fruit flies (Dipetera: Teprhitidae) in Hawaii following adult eclosion from pupae. Gut microbiomes (16S rRNA) of two species, melon fly (Zeugodacus cucurbitae) and medfly (Ceratitis capitata) were evaluated at set intervals over a two-week period.",paired,1,1
PRJNA953797,Cnaphalocrocis medinalis,Lepidoptera,16s rRNA of Cnaphalocrocis medinalis gut Raw sequence reads,16s rRNA of the gut of Cnaphalocrocis medinalis,paired,0,0
PRJNA953796,Cnaphalocrocis medinalis,Lepidoptera,16s rRNA of Cnaphalocrocis medinalis gut Raw sequence reads,16s rRNA of Cnaphalocrocis medinalis gut,single,0,0
PRJNA953599,Honeybee,Hymenoptera,Effect of migratory beekeeping on Indian honey bee microbiota,"Microbial symbionts that inhabit the honey bee's gut are essential to their host's food digestion, immunity, and gut protection. The taxonomic composition of the gut microbiota is dynamic throughout the honeybee life cycle and the different migratory sites. However, it remains unclear how drastic changes occurring in migratory sites, such as changing floral food, parasitism and pathogens infestation, impact gut microbiota dynamics.",single,0,0
PRJNA953027,Bombus terrestris/Bombus niveatus niveatus/Bombus niveatus vorticosus/Apis mellifera,Hymenoptera,"Fungal Gut Microbiome of Bombus terrestris, Bombus niveatus niveatus, Bombus niveatus vorticosus, and Apis mellifera Raw sequence reads","We investigated the gut bacteria and fungi communities of four taxa distributed in a local steppe-vegetation habitat: wild populations of Bombus terrestris, Bombus niveatus niveatus, Bombus niveatus vorticosus, and, as a manageable pollinator, Apis mellifera.",paired,0,0
PRJNA953022,Bombus terrestris/Bombus niveatus niveatus/Bombus niveatus vorticosus/Apis mellifera,Hymenoptera,"Bacterial Gut Microbiome of Bombus terrestris, Bombus niveatus niveatus, Bombus niveatus vorticosus, and Apis mellifera Raw sequence reads","We investigated the gut bacteria and fungi communities of four taxa distributed in a local steppe-vegetation habitat: wild populations of Bombus terrestris, Bombus niveatus niveatus, Bombus niveatus vorticosus, and, as a manageable pollinator, Apis mellifera.",paired,1,1
