InsectSpeices,Mean_Converted_Value,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,1
Paratrigona lineata,,,,,,,,Phanaeus vindex
Paryphthimoides terrestris,,,,,,,,Phlebotomus papatasi
Periplaneta americana,,,,,,,,Phlebotomus similis
Periplaneta fuliginosa,,,,,,,,Phlebotomus tobbi
Phanaeus difformis,,,,,,,,Pieris brassicae
Phanaeus vindex,,,,,,,,Pieris rapae
Phlebotomus papatasi,,,,,,,,Piezodorus guildinii
Phlebotomus similis,,,,,,,,Podisus maculiventris
Phlebotomus tobbi,,,,,,,,Polistes chinensis
Pieris brassicae,,,,,,,,Polistes humilis
Pieris rapae,,,,,,,,Polyphaga aegyptiaca
Piezodorus guildinii,,,,,,,,Prociphilus
Podisus maculiventris,,,,,,,,Prociphilus erigeronensis
Polistes chinensis,,,,,,,,Propylea japonica
Polistes humilis,,,,,,,,Pseudatomoscelis seriatus
Polyphaga aegyptiaca,,,,,,,,Pycnoscelus surinamensis
Prociphilus,,,,,,,,Reticulitermes flavipes
Prociphilus erigeronensis,,,,,,,,Rhizoecus
Propylea japonica,,,,,,,,Schistocerca gregaria
Pseudatomoscelis seriatus,,,,,,,,Scyphophorus acupunctatus 
Pycnoscelus surinamensis,,,,,,,,Spalgis epeus
Reticulitermes flavipes,,,,,,,,Spodoptera frugiperda
Rhizoecus,,,,,,,,Spodoptera littoralis
Schistocerca gregaria,,,,,,,,Symploce pallens
Scyphophorus acupunctatus ,,,,,,,,Taygetis laches
Spalgis epeus,,,,,,,,Tetragonula fuscobalteata
Spodoptera frugiperda,,,,,,,,Trigona hyalinata
Spodoptera littoralis,,,,,,,,Trigona spinipes
Symploce pallens,,,,,,,,Vespula vulgaris
Taygetis laches,,,,,,,,Zeugodacus cucurbitae
Tetragonula fuscobalteata,,,,,,,,(空白)
Trigona hyalinata,,,,,,,,nan
Trigona spinipes,,,,,,,,nan
Vespula vulgaris,,,,,,,,nan
Zeugodacus cucurbitae,,,,,,,,nan
